#NSGA2
popsize 60
maxGen 80
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 80
currentGen	1
evaluateCount	60
totalTime	337.016
firstFrontCount	13
frontCount	43
avgEvalTime	35.8025
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
102006	380.945	0.141328	0.84123	1	10000	-0.000538174	217.668	0	0	0	
177570	38.6212	0.448284	0.628073	1	45067	-0.000639963	222.083	0	0	0.34465	
142567	374.817	0.128968	0.712774	1	10000	-0.000662833	259.467	0	0	0	
171317	108.386	0.349791	0.505193	0.97283	36357.7	-0.000559689	226.719	0	0	0.18365	
151926	115.215	0.11793	0.804713	1	10000	-0.000787243	225.03	0	0	0.10644	
115903	374.817	0.128968	0.765728	1	10000	-0.000582751	221.918	0	0	0	
112098	374.817	0.128968	0.712774	1	10000	-0.000534065	208.924	0	0	0	
177570	110.652	0.448284	0.385718	1	45067	-0.000450527	236.916	0	0	0.195534	
100000	389.964	0.141183	0.759439	1	10000	-0.000502596	204.263	0	0	0	
177570	50.7943	0.448284	0.680719	1	44873.7	-0.000709896	232.257	0	0	0.251413	
186536	44.3515	0.448284	0.701777	1	44873.7	-0.00075436	240.45	0	0	0.283095	
177570	38.6212	0.448284	0.717492	1	44873.7	-0.000716642	226.483	0	0	0.310089	
177570	49.8745	0.448284	0.751697	1	45009.7	-0.000772907	235.178	0	0	0.227409	
195605	52.2949	0.37624	0.768439	1	42649.6	-0.000878661	246.089	0	0	0.220219	
153420	332.691	0.117777	0.712774	1	10000	-0.000730878	254.122	0	0	0	
235629	144.226	0.227192	0.805878	1	11347.1	-0.00123594	362.74	0	0	0.0325632	
142567	309.014	0.147697	0.756268	1	10000	-0.00072191	257.64	0	0	0	
177570	38.6212	0.448284	0.717492	1	44873.7	-0.000716642	226.483	0	0	0.310089	
142567	303.215	0.210333	0.712774	1	10712.4	-0.000681755	283.661	0	0	0	
160385	312.995	0.11793	0.804713	1	10000	-0.000838185	272.683	0	0	0	
199126	188.06	0.210118	0.713859	1	10000	-0.000940852	332.423	0	0	0.0180008	
151926	312.995	0.11793	0.804713	1	10000	-0.000804048	258.837	0	0	0	
200898	150.915	0.108638	0.794473	0.987405	10000	-0.00104217	272.849	0	0	0.0494715	
115903	374.817	0.128968	0.740956	1	10000	-0.000570751	218.373	0	0	0	
100000	413.598	0.141183	0.707976	1	10000	-0.00047106	202.969	0	0	0	
209638	188.06	0.186671	0.787443	1	11291.2	-0.00108946	324.587	0	0	0	
151926	126.697	0.105515	0.784882	1	10000	-0.000772997	218.99	0	0	0.091711	
151926	126.697	0.11793	0.850417	1	10000	-0.000835348	227.114	0	0	0.0750541	
100000	402.547	0.147167	0.707976	1	10000	-0.000472954	204.674	0	0	0	
158936	132.329	0.118156	0.850417	1	10000	-0.000875651	235.645	0	0	0.0647054	
142567	309.014	0.147697	0.774888	1	10000	-0.0007386	259.621	0	0	0	
162665	272.24	0.166049	0.66633	1	10000	-0.000727191	278.462	0	0	0	
212591	214.589	0.174601	0.816215	1	12202.2	-0.00114752	325.147	0	0	0	
155837	216.815	0.186671	0.801804	1	10000	-0.00083037	280.792	0	0	0	
177570	42.2355	0.448284	0.751697	1	45067	-0.000755873	230.003	0	0	0.273117	
158936	132.329	0.118156	0.886838	1	10000	-0.000911925	236.627	0	0	0.0561124	
134790	132.329	0.129531	0.789137	1	10000	-0.000691503	213.279	0	0	0.0849148	
177570	42.2355	0.448284	0.772638	1	45361.6	-0.000773785	230.366	0	0	0.264497	
142567	313.387	0.147697	0.66633	1	10000	-0.000639044	249.281	0	0	0	
102006	373.865	0.147697	0.755986	1	10000	-0.000514309	208.215	0	0	0	
929497	983.627	0.666135	0.379886	0.0334102	18567.8	-0.00185435	869.223	0	0.12518	0.725225	
401243	562.783	0.400072	0.192457	0.500736	27782.3	-0.000537846	418.865	0	0	0.451481	
377207	861.069	0.538891	0.773224	0.0857919	26265.2	-0.00127864	592.06	0	0.2568	0.713269	
517915	230.142	0.0781359	1.47371	0.213383	21880.6	-0.0021489	881.338	0	0.481928	0.372158	
618403	763.857	0.814835	1.0234	0.469918	30020.4	-0.00228787	1200.7	0	0.370893	0.722674	
782139	300.459	0.8078	1.43551	0.00518753	16308	-0.00661137	812.017	0	0.0304482	0.739831	
693131	859.575	0.395627	1.41481	0.981078	46742.4	-0.00015941	23414.5	0	0.876622	0.57903	
563868	637.348	0.382566	0.272476	0.23153	13363.9	-0.000926579	603.218	0	0.027166	0.562068	
989054	467.267	0.760594	1.51985	0.470032	27929.6	-0.00492199	1720.83	0	0.425718	0.728502	
823407	603.517	0.428345	0.693166	0.309687	38758.3	-0.00168108	1273.77	0	0.463792	0.694907	
718515	557.767	0.871529	0.222815	0.891303	35013.8	-0.000341721	2489.58	0	0.591379	0.564259	
154391	981.868	0.887213	0.675828	0.543197	23924.6	-0.000358629	626.348	0	0.39763	0.72159	
428645	517.988	0.795646	1.0056	0.990537	24924.7	-0.000244962	7053.81	0	0.816172	0.331369	
862357	43.6933	0.771092	0.731761	0.260271	35974.9	-0.00349585	641.12	0	0	0.673469	
969625	588.335	0.859493	1.09161	0.4122	31599.1	-0.00415245	1396.66	0	0.323323	0.732649	
358157	683.381	0.408823	0.355985	0.581937	14950.3	-0.000622166	633.236	0	0.190501	0.485964	
947731	329.767	0.716588	1.67768	0.0625928	19488.4	-0.00816657	971.066	0	0.153649	0.736283	
646098	831.109	0.684409	0.190183	0.68414	45923.3	-0.000376688	1349.92	0	0.455778	0.64156	
152021	106.503	0.400026	1.79918	0.670603	42977.4	-0.00139494	236.578	0	0.107517	0.396093	
881687	634.096	0.571022	0.970211	0.442414	13424.2	-0.00249315	1760.36	0	0.470939	0.708725	



#Generation 2 / 80
currentGen	2
evaluateCount	120
totalTime	759.491
firstFrontCount	12
frontCount	32
avgEvalTime	55.0152
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
112098	374.817	0.128968	0.712774	1	10000	-0.000534065	208.924	0	0	0	
100000	389.964	0.141183	0.759439	1	10000	-0.000502596	204.263	0	0	0	
