#NSGA2
popsize 46
maxGen 60
numVar 9
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	46
totalTime	257.325
firstFrontCount	1
frontCount	41
avgEvalTime	13.3834
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Obj2	Cons1	Cons2	Cons3	
112710	803.897	0.356631	1.65503	0.0258158	26017.6	19.4785	25.3	62.1655	-0.17598	-0.431993	0	0.468007	0	
918336	314.878	0.778339	0.284	0.719963	34084.6	0.0205757	12.8455	40.9615	-0.15858	-0.816366	0	0.0836339	0	
814980	816.137	0.513854	0.79396	0.836379	29551.2	17.7816	15.0815	55.3581	-0.16068	-0.556207	0	0.343793	0	
740625	886.522	0.0337407	1.29107	0.445472	41483.2	7.76517	10.5886	29.6097	-0.25369	-0.0646684	0	0.835332	0	
275288	888.246	0.181924	1.98069	0.284485	11968	10.4545	9.83503	28.0031	-0.186843	-0.23668	0	0.66332	0	
430211	109.549	0.781678	1.41098	0.780634	24718.2	10.0193	3.52859	50.2083	-0.167417	-0.880881	0	0.0191189	0	
620150	977.5	0.736303	1.58375	0.732109	24747.2	5.5213	23.562	14.9307	-0.150807	-0.740619	0	0.159381	0	
925525	299.422	0.326547	0.537443	0.69188	47114.9	3.21779	15.2376	31.1166	-0.192574	-0.43708	0	0.46292	0	
536605	85.6996	0.278454	1.66685	0.118776	23730.8	15.4827	8.93442	67.2276	-0.25745	-0.54012	0	0.35988	0	
451770	387.571	0.235258	1.39322	0.951959	31659.5	17.7008	26.5759	32.917	-0.184835	-0.301017	0	0.598983	0	
440394	648.038	0.474488	0.408094	0.120988	14856.4	19.5459	29.1489	56.1284	-0.197478	-0.657928	0	0.242072	0	
496593	288.86	0.465617	0.288241	0.61039	43581.7	4.09112	8.50812	25.2912	-0.273446	-0.966473	0	0	0	
436037	295.291	0.259526	1.64836	0.23117	43570.1	3.30041	9.44749	20.8226	-0.190889	-0.345679	0	0.554321	0	
256157	171.136	0.542855	1.43558	0.785465	49861.4	18.0117	29.7859	63.8647	-0.182881	-0.682849	0	0.217151	0	
702583	905.418	0.96691	1.06613	0.504229	44454.3	16.5803	10.094	54.8748	-0.149738	-0.963848	0	0	0.000262213	
315755	640.618	0.257875	0.328578	0.775049	37215.8	9.81346	25.8033	51.7048	-0.274988	-0.546402	0	0.353598	0	
974710	15.6824	0.0607005	1.09101	0.509865	40698	14.647	17.484	37.2399	-0.722479	-0.771466	0	0.128534	0	
551822	252.85	0.21396	1.42002	0.615633	35638.2	10.3481	27.9555	3.26516	-0.214142	-0.328583	0	0.571417	0	
849063	191.863	0.644968	0.45655	0.356703	41004.1	18.8964	29.0336	63.9222	-0.17896	-0.783914	0	0.116086	0	
178102	405.683	0.134232	1.18906	0.0569506	27892.7	0.752966	22.3959	26.2163	-0.310339	-0.342168	0	0.557832	0	
798505	898.936	0.915767	0.852641	0.786976	47302.9	14.6897	6.5539	33.1982	-0.150547	-0.918274	0	0	0	
420790	388.34	0.136605	1.69848	0.723227	46986.9	15.1037	11.5231	10.4525	-0.212306	-0.207655	0	0.692345	0	
899315	844.58	0.764432	0.654452	0.0462626	21110.6	5.12731	17.6576	34.2542	-0.158117	-0.811698	0	0.0883019	0	
205164	307.283	0.510582	0.621788	0.614842	19056.6	7.22256	5.5832	60.8494	-0.257692	-0.991544	0	0	0	
