#NSGA2
popsize 10
maxGen 1
numVar 9
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 1
currentGen	1
evaluateCount	10
totalTime	52.5337
firstFrontCount	2
frontCount	9
avgEvalTime	14.0274
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	Obj2	Cons1	Cons2	Cons3	
433535	127.159	0.0308382	1.32788	0.015772	10157.1	17.2679	12.2795	52.0524	-0.807996	-0.753771	0	0.146229	0	
271566	197.663	0.966518	1.43532	0.347575	24460.2	1.38906	7.59916	33.5844	-0.151044	-0.9688	0	0	0	
172611	589.67	0.22983	1.85295	0.174323	47046.5	17.7797	26.732	67.1144	-0.216534	-0.359477	0	0.540523	0	
876950	855.569	0.261689	1.45511	0.708071	35027.9	11.1566	19.0242	38.8511	-0.175187	-0.314353	0	0.585647	0	
132854	458.746	0.398142	1.99204	0.766302	46435.7	18.8335	1.77239	46.6225	-0.190165	-0.529417	0	0.370583	0	
860548	629.095	0.0425316	1.8748	0.502115	49684.9	7.54237	29.8231	68.6404	-0.270015	-0.0885716	0	0.811428	0	
922228	164.22	0.564393	0.963677	0.944969	39019.6	11.6508	23.7059	50.3962	-0.169205	-0.642	0	0.258	0	
944634	846.67	0.268607	0.721127	0.894814	12239.5	8.56878	12.416	22.074	-0.190626	-0.357153	0	0.542847	0	
151942	842.719	0.692726	0.154498	0.696956	31181.3	11.8186	29.6957	32.8709	-0.206489	-1.00014	0	0	0	
277898	121.83	0.208467	0.356336	0.951883	49555.9	14.3702	17.9533	15.5724	-0.484046	-0.997392	0	0	0	



