#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	91.968
firstFrontCount	5
frontCount	33
avgEvalTime	11.8865
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
256050	397.028	0.824752	1.62639	0.0604712	25970.3	-0.160321	-0.839498	0	0.0605023	0	
574188	422.631	0.653723	1.29315	0.291984	27266	-0.181087	-0.582378	0	0.317622	0	
113938	984.223	0.173825	0.301811	0.37241	17924.7	-0.589594	-0.94774	0	0	0	
540719	346.098	0.942598	1.84863	0.052677	39514.3	-0.154016	-0.922005	0	0	0	
342207	428.607	0.546913	1.8912	0.417744	49322.1	-0.18187	-0.403446	0	0.496554	0	
371309	704.088	0.663012	1.12434	0.698106	36661.1	-0.196814	-0.280936	0	0.619064	0	
260319	136.734	0.989099	0.42513	0.0326008	32448	-0.155492	-1.00001	0	0	0	
893680	672.484	0.196625	0.800941	0.460726	49265.5	-0.250364	-0.205174	0	0.694826	0	
240764	856.968	0.641869	0.814917	0.190924	27130.1	-0.182795	-0.660518	0	0.239482	0	
533820	129.405	0.587717	0.529757	0.384619	33319.5	-0.314389	-1.00005	0	0	0	
326626	297.536	0.614749	0.604034	0.824376	49306.5	-0.385987	-0.41646	0	0.48354	0	
757224	350.438	0.582388	0.304761	0.906308	45186.1	-0.486553	-0.366233	0	0.533767	0	
835985	268.121	0.592469	0.142774	0.425259	22508.8	-0.312754	-1.00008	0	0	0	
245336	186.979	0.424428	0.279036	0.598524	28837	-0.43256	-1.00019	0	0	0	
726354	702.889	0.63576	0.163847	0.0688061	22784	-0.212489	-0.916597	0	0	0	
577778	657.901	0.409467	1.65796	0.718359	48746	-0.202884	-0.168302	0	0.731698	0	
578201	331.894	0.113517	1.26082	0.778802	26938.1	-0.573732	-0.215926	0	0.684074	0	
181741	273.807	0.160584	0.63391	0.440085	31085.7	-0.61915	-0.933155	0	0	0	
511682	876.618	0.517691	1.89288	0.637709	48307.8	-0.183431	-0.239822	0	0.660178	0	
316636	679.361	0.293283	1.37644	0.69514	12719.7	-0.291304	-0.213297	0	0.686703	0	
329311	231.8	0.664476	1.70435	0.344462	41220.8	-0.189301	-0.58059	0	0.31941	0	
707799	16.6482	0.600127	0.834865	0.915991	10046	-0.371447	-0.999845	0	0	0	
516204	430.106	0.461698	1.5633	0.322472	41389.6	-0.190641	-0.420039	0	0.479961	0	
524221	45.4051	0.182357	1.47134	0.473486	16108.8	-0.563541	-0.999983	0	0	0	
407012	611.315	0.19791	1.50301	0.24285	46697	-0.235032	-0.263507	0	0.636493	0	
342155	767.845	0.194889	0.646247	0.0911135	33048.4	-0.312901	-0.465499	0	0.434501	0	
715027	551.127	0.427214	1.32444	0.647618	37160.7	-0.210153	-0.229847	0	0.670153	0	
672208	945.722	0.214756	1.44764	0.236231	14775.8	-0.206937	-0.244035	0	0.655965	0	
646574	455.636	0.459551	1.3577	0.770286	24008.7	-0.24462	-0.198308	0	0.701692	0	
695809	421.997	0.835091	1.68254	0.256441	34538.4	-0.165102	-0.697085	0	0.202915	0	
624024	545.332	0.862542	0.60308	0.318074	14768.6	-0.179356	-0.732087	0	0.167913	0	
945847	649.096	0.479874	1.3147	0.544716	35892.5	-0.190402	-0.292937	0	0.607063	0	
589497	723.836	0.522045	1.98804	0.218677	14231.9	-0.171136	-0.478231	0	0.421769	0	
198728	72.9555	0.406488	0.951909	0.365816	40540.2	-0.376193	-1.00025	0	0	0	
665107	774.261	0.924196	1.94821	0.192028	15555	-0.152331	-0.761312	0	0.138688	0	
726640	102.882	0.524896	1.10765	0.86114	29394.1	-0.476497	-0.446001	0	0.453999	0	
454111	674.717	0.736433	1.0881	0.347713	15999.9	-0.179675	-0.598191	0	0.301809	0	
627483	269.524	0.053565	1.53437	0.242785	27696.1	-0.531026	-0.281714	0	0.618286	0	
719016	365.636	0.731613	0.849944	0.683416	38161.9	-0.211545	-0.35874	0	0.54126	0	
498075	29.3818	0.334241	0.906188	0.27027	17882.2	-0.333264	-1.00007	0	0	0	



#Generation 2 / 60
currentGen	2
